ID,特訓名,タイプ,打撃,筋力,走塁,肩力,球速,コントロール,スタミナ,変化球,守備,精神,筋力,技術,敏捷,変化球,精神,コツ,取得
0,雑巾がけ,0,,1,1,,,,,,,1,,,10,,10,,敏捷+10　精神+10
1,キャベツの千切り,0,3,,,,,,,,,,,30,,,,,技術+30
2,タイマンスクワット,0,,3,,,,,,,,,30,,,,,,筋力+30
3,だるまさんがころんだ,0,,,3,,,,,,,,,,30,,,,敏捷+30
4,片手うんてい,0,,,,3,,,,,,,30,,,,,,筋力+30
5,草むしり,0,,,,,,,,,3,,,30,,,,,技術+30
6,座禅,0,,,,,,,,,,3,,,,,30,,精神+30
7,捕手リード学習,0,1,,,,,1,,,1,,,10,,,20,1,技術+10　精神+20　キャッチャーコツLv2
8,ニュートン力学講座,0,1,,1,,,,,,1,1,,20,,,10,,技術+20　精神+10
9,ブレイクダンス,0,1,1,,1,,,,,1,,10,,20,,,,筋力+10　敏捷+20
10,昆虫採集,0,2,,1,1,,,,,,,,10,10,,,1,敏捷+10　技術+10　ハイボールヒッターコツLv2
11,石炭採掘,0,4,,,,,,,,,,20,20,,,,,筋力+20　技術+20
12,鉄球で打撃練習,0,1,2,,1,,,,,,,10,10,,,,1,筋力+10　技術+10　固め打ちコツLv2
13,クマと相撲,0,,4,,,,,,,,,10,,30,,,,筋力+10　精神+30
14,キックボクシング,0,,1,2,,,,,,1,,10,,10,,,1,筋力+10　敏捷+10　ゲッツー崩しコツLv2
15,ビーチフラッグス,0,,,4,,,,,,,,,,20,,20,,敏捷+20　精神+20
16,カウボーイロデオ,0,1,,,2,,,,,,1,,10,,,10,1,技術+10　精神+10　悪球打ちコツLv2
17,渓流釣り,0,,,,4,,,,,,,10,30,,,,,筋力+10　技術+30
18,背走ダッシュ,0,,,1,,,,,,2,1,,,10,,10,1,敏捷+10　精神+10　帳尻合わせコツLv2
19,新体操,0,,,,,,,,,4,,,,30,,10,,敏捷+30　技術+10
20,水泳高飛び込み,0,,1,,,,,,,1,2,10,,,,10,1,筋力+10　精神+10　逆境コツLv2
21,野球小説の執筆,0,,,,,,,,,,4,,10,,,30,,技術+10　精神+30
22,ウインドサーフィン,0,,,2,1,,,,1,,,,,40,,,,敏捷+40
